Indicators,Year ,Month,Value
Airline Passengers,2005,10,95.93
Airline Passengers,2005,11,97.71
Airline Passengers,2005,12,97.22
Airline Passengers,2006,1,97.75
Airline Passengers,2006,2,96.01
Airline Passengers,2006,3,96.33
Airline Passengers,2006,4,95.07
Airline Passengers,2006,5,95.65
Airline Passengers,2006,6,94.1
Airline Passengers,2006,7,91.3
Airline Passengers,2006,8,95.11
Airline Passengers,2006,9,95.04
Airline Passengers,2006,10,97.46
Airline Passengers,2006,11,100.96
Airline Passengers,2006,12,97.53
Airline Passengers,2007,1,97.6
Airline Passengers,2007,2,97.43
Airline Passengers,2007,3,97.07
Airline Passengers,2007,4,97.66
Airline Passengers,2007,5,100
Airline Passengers,2007,6,96.86
Airline Passengers,2007,7,99.26
Airline Passengers,2007,8,103.88
Airline Passengers,2007,9,99.51
Airline Passengers,2007,10,99
Airline Passengers,2007,11,99.78
Airline Passengers,2007,12,98.66
Airline Passengers,2008,1,100.7
Airline Passengers,2008,2,102.04
Airline Passengers,2008,3,98.19
Airline Passengers,2008,4,98.82
Airline Passengers,2008,5,98.87
Airline Passengers,2008,6,97.33
Airline Passengers,2008,7,99.9
Airline Passengers,2008,8,95.95
Airline Passengers,2008,9,94.84
Airline Passengers,2008,10,96.48
Airline Passengers,2008,11,91.16
Airline Passengers,2008,12,98.39
Airline Passengers,2009,1,94.15
Airline Passengers,2009,2,93.94
Airline Passengers,2009,3,93.77
Airline Passengers,2009,4,96.28
Airline Passengers,2009,5,94.19
Airline Passengers,2009,6,94.26
Airline Passengers,2009,7,94.86
Airline Passengers,2009,8,94.5
Airline Passengers,2009,9,93.09
Airline Passengers,2009,10,91.51
Airline Passengers,2009,11,91.56
Airline Passengers,2009,12,91.76
Airline Passengers,2010,1,91.38
Airline Passengers,2010,2,92.03
Airline Passengers,2010,3,97.37
Airline Passengers,2010,4,95.94
Airline Passengers,2010,5,92.13
Airline Passengers,2010,6,95.67
Airline Passengers,2010,7,96.71
Airline Passengers,2010,8,94.76
Airline Passengers,2010,9,96.02
Airline Passengers,2010,10,97.29
Airline Passengers,2010,11,95.5
Airline Passengers,2010,12,95.57
Airline Passengers,2011,1,94.82
Airline Passengers,2011,2,93.7
Airline Passengers,2011,3,95.95
Airline Passengers,2011,4,92.5
Airline Passengers,2011,5,93.1
Airline Passengers,2011,6,93.01
Airline Passengers,2011,7,92.46
Airline Passengers,2011,8,92.54
Airline Passengers,2011,9,94.1
Airline Passengers,2011,10,91.53
Airline Passengers,2011,11,93.6
Airline Passengers,2011,12,91.89
Airline Passengers,2012,1,92.39
Airline Passengers,2012,2,93.53
Airline Passengers,2012,3,90.71
Airline Passengers,2012,4,90.71
Airline Passengers,2012,5,90.42
Airline Passengers,2012,6,91.89
Airline Passengers,2012,7,90.73
Airline Passengers,2012,8,95.58
Airline Passengers,2012,9,91.02
Airline Passengers,2012,10,91.77
Airline Passengers,2012,11,89.9
Airline Passengers,2012,12,89.23
Airline Passengers,2013,1,92.55
Airline Passengers,2013,2,88.44
Airline Passengers,2013,3,87.1
Airline Passengers,2013,4,88.69
Airline Passengers,2013,5,89.88
Airline Passengers,2013,6,89.32
Airline Passengers,2013,7,89.11
Airline Passengers,2013,8,90.62
Airline Passengers,2013,9,90.75
Airline Passengers,2013,10,89
Airline Passengers,2013,11,89.54
Airline Passengers,2013,12,95.38
Airline Passengers,2014,1,91.82
Airline Passengers,2014,2,93
Airline Passengers,2014,3,91.84
Airline Passengers,2014,4,91.38
Airline Passengers,2014,5,93.26
Airline Passengers,2014,6,90.73
Airline Passengers,2014,7,91.21
Airline Passengers,2014,8,90.96
Airline Passengers,2014,9,90.99
Airline Passengers,2014,10,92.02
Airline Passengers,2014,11,87.94
Airline Passengers,2014,12,94.47
Airline Passengers,2015,1,92.85
Airline Passengers,2015,2,91.73
